Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Japanese,Image,area,Number of Customer,show,no
Albania,albania,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4ad9,false,false,Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/605a0d7759eef00cf6446742/63d5c7ef3dc29b8f3da62e0f_610976b8b05b62b9eae408f6_Albania.png,,,false,1
Algeria,algeria,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4ad8,false,false,Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Thu Oct 02 2025 17:42:12 GMT+0000 (Coordinated Universal Time),Thu Oct 30 2025 05:02:02 GMT+0000 (Coordinated Universal Time),アルジェリア,https://cdn.prod.website-files.com/605a0d7759eef00cf6446742/63d5c7efac199154c1a39b33_61098d41241ebd7442b3e6be_Algeria.png,Africa,1,true,2
Andorra,andorra,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4ad7,false,false,Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/605a0d7759eef00cf6446742/63d5c7ef61dbe7da6a7f70b2_6109769d2aa694548a9c8140_Andorra.png,,,false,4
Angola,angola,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4ad6,false,false,Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sat Nov 23 2024 17:46:35 GMT+0000 (Coordinated Universal Time),Sat Nov 23 2024 17:51:35 GMT+0000 (Coordinated Universal Time),アンゴラ,https://cdn.prod.website-files.com/605a0d7759eef00cf6446742/63d5c7ef3dc29b74aea62e10_610976b9e47327e752cc387c_Angola.png,Africa,1,true,5
Argentina,argentina,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4ada,false,false,Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/605a0d7759eef00cf6446742/63d5c7eff7e09bb6fd321513_610976c182f03d98d1a3c043_Argentina.png,,,false,8
Armenia,armenia,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4adb,false,false,Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Jan 29 2023 01:12:15 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/605a0d7759eef00cf6446742/63d5c7ef026df895bd1992af_610976a6ba1bc73d75e48e95_Armenia.png,,,false,9
Australia,australia,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4adc,false,false,Sun Jan 29 2023 01:12:16 GMT+0000 (Coordinated Universal Time),Sat Jul 05 2025 04:16:24 GMT+0000 (Coordinated Universal Time),Tue Jul 29 2025 11:15:02 GMT+0000 (Coordinated Universal Time),オーストラリア,https://cdn.prod.website-files.com/605a0d7759eef00cf6446742/63d5c7f03933d1ac8b7035fa_610976c78eaf456a9b3b5da2_Australia.png,South Asia,14,true,11
Austria,austria,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4add,false,false,Sun Jan 29 2023 01:12:16 GMT+0000 (Coordinated Universal Time),Sat Oct 26 2024 08:41:41 GMT+0000 (Coordinated Universal Time),Sat Oct 26 2024 08:43:07 GMT+0000 (Coordinated Universal Time),オーストリア,https://cdn.prod.website-files.com/605a0d7759eef00cf6446742/63d5c7f0523677bd0024dd0b_610976abc26bb04ec422dfd1_Austria.png,Europe,1,true,12
Azerbaijan,azerbaijan,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4ade,false,false,Sun Jan 29 2023 01:12:16 GMT+0000 (Coordinated Universal Time),Sat Jul 05 2025 09:51:21 GMT+0000 (Coordinated Universal Time),Tue Jul 29 2025 11:15:02 GMT+0000 (Coordinated Universal Time),アゼルバイジャン,https://cdn.prod.website-files.com/605a0d7759eef00cf6446742/63d5c7f00f220405609337c6_61098d40524c2f399b39892b_Azerbajian.png,East Asia,1,true,13
Bahrain,bahrain,6506f502ce2d9d36a2bb489d,6506f502ce2d9d36a2bb4adf,false,false,Sun Jan 29 2023 01:12:16 GMT+0000 (Coordinated Universal Time),Sat Mar 18 2023 15:47:37 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),バーレーン,https://uploads-ssl.webflow.com/605a0d7759eef00cf6446742/63d5c7f00f22040bbe9337c7_610976bde2987861872ef8b4_Bahrain.png,West Asia,1,true,15
