Maker Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Maker Name (EN),Link,Trade,Kinds,Kinds2,Display
3M,3m-japan-group,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b76,false,false,Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Aug 13 2025 11:28:27 GMT+0000 (Coordinated Universal Time),Sun Sep 28 2025 09:41:02 GMT+0000 (Coordinated Universal Time),3M Japan Group,https://www.3mcompany.jp/3M/ja_JP/company-jp/,,安全具,,true
株式会社スリーエス,3s-co-ltd,6506f502ce2d9d36a2bb48e5,67f115b90a5bfa6266ad28dc,false,false,Sat Apr 05 2025 11:36:25 GMT+0000 (Coordinated Universal Time),Sat Apr 05 2025 11:36:25 GMT+0000 (Coordinated Universal Time),Sat Apr 05 2025 11:36:25 GMT+0000 (Coordinated Universal Time),"3S Co., Ltd.",https://www.posi3s.com/,取引,,油空圧・液体機器,false
株式会社アコー,aco-co-ltd,6506f502ce2d9d36a2bb48e5,65b3b6e9415825910be52eed,false,false,Fri Jan 26 2024 13:43:05 GMT+0000 (Coordinated Universal Time),Wed May 21 2025 15:47:32 GMT+0000 (Coordinated Universal Time),Wed May 21 2025 15:47:32 GMT+0000 (Coordinated Universal Time),"ACO Co., Ltd.",https://www.acokk.co.jp/,取引,環境機器,,false
アクト電機工業株式会社,act-electric-industry-co-ltd,6506f502ce2d9d36a2bb48e5,67f1157431d63e6d40e5f825,false,false,Sat Apr 05 2025 11:35:16 GMT+0000 (Coordinated Universal Time),Sat Apr 05 2025 11:35:16 GMT+0000 (Coordinated Universal Time),Sat Apr 05 2025 11:35:16 GMT+0000 (Coordinated Universal Time),"ACT ELECTRIC INDUSTRY CO.,LTD",https://www.act-electric.co.jp,取引,,電気,false
AK WELDING,ak-welding,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b77,false,false,Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Aug 13 2025 11:09:57 GMT+0000 (Coordinated Universal Time),Sun Sep 28 2025 09:41:02 GMT+0000 (Coordinated Universal Time),Ak Welding,https://www.ak-welding.com/,取引,,海外メーカー,true
株式会社アキテック,akitec-co-ltd,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b75,false,false,Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Aug 13 2025 11:06:40 GMT+0000 (Coordinated Universal Time),Sun Sep 28 2025 09:41:02 GMT+0000 (Coordinated Universal Time),"Akitec Co., Ltd.",http://www.akitec.co.jp/,,,ボルト・ナット,true
株式会社アマダ,amada-co-ltd,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b7a,false,false,Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),"Amada Co., Ltd.",https://www.amada.co.jp/ja/,,切削工具,,false
アネスト岩田株式会社,anest-iwata-corporation,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b78,false,false,Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),Anest Iwata Corporation,https://www.anest-iwata.co.jp/,,塗装,,false
"ARKON FLOW SYSTEMS, LTD",arkon-flow-systems-ltd,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b79,false,false,Fri May 05 2023 03:19:12 GMT+0000 (Coordinated Universal Time),Mon Jan 29 2024 17:45:16 GMT+0000 (Coordinated Universal Time),Mon Jan 29 2024 17:46:09 GMT+0000 (Coordinated Universal Time),"Arkon Flow Systems, Ltd",https://www.arkon.co.uk/,取引,,海外メーカー,false
アズワン株式会社,as-one-corporation,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b7b,false,false,Fri May 05 2023 03:19:13 GMT+0000 (Coordinated Universal Time),Fri May 05 2023 03:19:13 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),As One Corporation,https://www.as-1.co.jp/,,ケミカル品,,false
朝日バグナル,asahi-bagnall-co-ltd,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b7c,false,false,Fri May 05 2023 03:19:13 GMT+0000 (Coordinated Universal Time),Fri May 05 2023 03:19:13 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),"Asahi Bagnall & Co., Ltd.",http://asahi-bagnall.jp/,,,電気,false
株式会社旭ウエルデックス,asahi-weldex-co-ltd,6506f502ce2d9d36a2bb48e5,6506f502ce2d9d36a2bb4b7e,false,false,Fri May 05 2023 03:19:13 GMT+0000 (Coordinated Universal Time),Fri May 05 2023 03:19:13 GMT+0000 (Coordinated Universal Time),Sun Sep 17 2023 17:07:36 GMT+0000 (Coordinated Universal Time),"Asahi Weldex Co., Ltd.",https://www.asahiwel.co.jp/,取引,溶接関連,,false
